symbol_id,seal_id,symbol_index,cluster_id
page039_M-4_B_c0_sym_001,page039_M-4_B_c0,1,23
page046_M-12_a_c1_sym_001,page046_M-12_a_c1,1,27
page046_M-12_a_c1_sym_002,page046_M-12_a_c1,2,29
page046_M-12_a_c1_sym_003,page046_M-12_a_c1,3,22
page046_M-12_a_c1_sym_004,page046_M-12_a_c1,4,22
page046_M-12_a_c1_sym_005,page046_M-12_a_c1,5,22
page046_M-12_a_c1_sym_006,page046_M-12_a_c1,6,35
page046_M-12_a_c1_sym_007,page046_M-12_a_c1,7,10
page046_M-12_a_c1_sym_008,page046_M-12_a_c1,8,22
page046_M-12_a_c1_sym_009,page046_M-12_a_c1,9,15
page046_M-12_a_c1_sym_010,page046_M-12_a_c1,10,26
page046_M-12_a_c1_sym_011,page046_M-12_a_c1,11,27
page046_M-12_a_c1_sym_012,page046_M-12_a_c1,12,35
page046_M-12_a_c1_sym_013,page046_M-12_a_c1,13,10
page046_M-12_a_c1_sym_014,page046_M-12_a_c1,14,16
page046_M-12_a_c1_sym_015,page046_M-12_a_c1,15,29
page046_M-12_a_c1_sym_016,page046_M-12_a_c1,16,0
page046_M-12_a_c1_sym_017,page046_M-12_a_c1,17,16
page046_M-12_a_c1_sym_018,page046_M-12_a_c1,18,15
page046_M-12_a_c1_sym_019,page046_M-12_a_c1,19,35
page046_M-12_a_c1_sym_020,page046_M-12_a_c1,20,20
page046_M-12_a_c1_sym_021,page046_M-12_a_c1,21,35
page046_M-12_a_c1_sym_022,page046_M-12_a_c1,22,16
page046_M-12_a_c1_sym_023,page046_M-12_a_c1,23,3
page046_M-12_a_c1_sym_024,page046_M-12_a_c1,24,39
page046_M-12_a_c1_sym_025,page046_M-12_a_c1,25,30
page046_M-12_a_c1_sym_026,page046_M-12_a_c1,26,20
page046_M-12_a_c1_sym_027,page046_M-12_a_c1,27,26
page046_M-12_a_c1_sym_028,page046_M-12_a_c1,28,20
page046_M-12_a_c1_sym_029,page046_M-12_a_c1,29,22
page046_M-12_a_c1_sym_030,page046_M-12_a_c1,30,3
page046_M-12_a_c1_sym_031,page046_M-12_a_c1,31,27
page046_M-12_a_c1_sym_032,page046_M-12_a_c1,32,15
page046_M-12_a_c1_sym_033,page046_M-12_a_c1,33,7
