symbol_id,seal_id,pc1,pc2,symbol_index,cluster_id
page039_M-4_B_c0_sym_001,page039_M-4_B_c0,3.2681844,0.6374411,1,23
page046_M-12_a_c1_sym_001,page046_M-12_a_c1,1.6210093,0.10287418,1,27
page046_M-12_a_c1_sym_002,page046_M-12_a_c1,0.8639389,-0.047175407,2,29
page046_M-12_a_c1_sym_003,page046_M-12_a_c1,-0.92012155,-0.49208418,3,22
page046_M-12_a_c1_sym_004,page046_M-12_a_c1,-0.5322623,-0.4279797,4,22
page046_M-12_a_c1_sym_005,page046_M-12_a_c1,-2.391807,-0.7587669,5,22
page046_M-12_a_c1_sym_006,page046_M-12_a_c1,2.289684,0.089909345,6,35
page046_M-12_a_c1_sym_007,page046_M-12_a_c1,3.5802374,0.643808,7,10
page046_M-12_a_c1_sym_008,page046_M-12_a_c1,-3.3846643,-1.0037886,8,22
page046_M-12_a_c1_sym_009,page046_M-12_a_c1,-1.5602956,-0.677217,9,15
page046_M-12_a_c1_sym_010,page046_M-12_a_c1,0.30742323,-0.4568999,10,26
page046_M-12_a_c1_sym_011,page046_M-12_a_c1,1.0315228,-0.008349336,11,27
page046_M-12_a_c1_sym_012,page046_M-12_a_c1,1.6127439,-0.10114131,12,35
page046_M-12_a_c1_sym_013,page046_M-12_a_c1,2.60823,0.30768058,13,10
page046_M-12_a_c1_sym_014,page046_M-12_a_c1,0.44019142,-0.3197085,14,16
page046_M-12_a_c1_sym_015,page046_M-12_a_c1,-0.12129326,-0.33333582,15,29
page046_M-12_a_c1_sym_016,page046_M-12_a_c1,5.4960136,1.3358998,16,0
page046_M-12_a_c1_sym_017,page046_M-12_a_c1,-0.50317645,-0.5507132,17,16
page046_M-12_a_c1_sym_018,page046_M-12_a_c1,-2.164927,-0.7905703,18,15
page046_M-12_a_c1_sym_019,page046_M-12_a_c1,1.5576913,-0.026643287,19,35
page046_M-12_a_c1_sym_020,page046_M-12_a_c1,-5.4309645,-1.3496932,20,20
page046_M-12_a_c1_sym_021,page046_M-12_a_c1,2.591938,0.110473394,21,35
page046_M-12_a_c1_sym_022,page046_M-12_a_c1,-0.037510257,-0.397186,22,16
page046_M-12_a_c1_sym_023,page046_M-12_a_c1,-0.046432678,-0.44242758,23,3
page046_M-12_a_c1_sym_024,page046_M-12_a_c1,-8.779854,-0.9679302,24,39
page046_M-12_a_c1_sym_025,page046_M-12_a_c1,-7.784228,-0.9578156,25,30
page046_M-12_a_c1_sym_026,page046_M-12_a_c1,-4.881002,-1.3163108,26,20
page046_M-12_a_c1_sym_027,page046_M-12_a_c1,-0.3770792,-0.5083234,27,26
page046_M-12_a_c1_sym_028,page046_M-12_a_c1,-5.2422404,-1.2459154,28,20
page046_M-12_a_c1_sym_029,page046_M-12_a_c1,-1.1785269,-0.5709174,29,22
page046_M-12_a_c1_sym_030,page046_M-12_a_c1,0.5301557,-0.16215494,30,3
page046_M-12_a_c1_sym_031,page046_M-12_a_c1,3.5488636,0.5785583,31,27
page046_M-12_a_c1_sym_032,page046_M-12_a_c1,-1.1421882,-0.5326879,32,15
page046_M-12_a_c1_sym_033,page046_M-12_a_c1,1.3157785,0.021421572,33,7
page046_M-12_a_c1_sym_034,page046_M-12_a_c1,3.5251944,0.60717887,34,27
page046_M-12_a_c1_sym_035,page046_M-12_a_c1,-5.8776264,-1.2507106,35,20
page046_M-12_a_c1_sym_036,page046_M-12_a_c1,-5.140955,-1.2927384,36,20
page046_M-12_a_c1_sym_037,page046_M-12_a_c1,0.9872252,-0.2616581,37,3
page046_M-12_a_c1_sym_038,page046_M-12_a_c1,-5.0443754,-1.2061728,38,34
page046_M-12_a_c1_sym_039,page046_M-12_a_c1,-4.3253803,-1.1612064,39,12
page046_M-12_a_c1_sym_040,page046_M-12_a_c1,0.16044639,-0.4103942,40,26
page046_M-12_a_c1_sym_041,page046_M-12_a_c1,-10.966633,4.1087437,41,32
page046_M-12_a_c1_sym_042,page046_M-12_a_c1,1.5506567,0.5376541,42,7
page046_M-12_a_c1_sym_043,page046_M-12_a_c1,-8.3889885,1.007821,43,30
page046_M-12_a_c1_sym_044,page046_M-12_a_c1,-13.148745,10.2549,44,36
page046_M-12_a_c1_sym_045,page046_M-12_a_c1,1.5506567,0.5376541,45,7
page046_M-12_a_c1_sym_046,page046_M-12_a_c1,-10.442124,3.1260476,46,32
page046_M-12_a_c1_sym_047,page046_M-12_a_c1,-12.162864,13.089792,47,36
page046_M-12_a_c1_sym_048,page046_M-12_a_c1,-37.280018,142.45326,48,4
page046_M-12_a_c1_sym_049,page046_M-12_a_c1,1.5506567,0.5376541,49,7
page046_M-12_a_c1_sym_050,page046_M-12_a_c1,-6.100218,-1.0486658,50,20
page046_M-12_a_c1_sym_051,page046_M-12_a_c1,-4.778506,-1.1763033,51,12
page046_M-12_a_c1_sym_052,page046_M-12_a_c1,1.5506567,0.5376541,52,7
page048_M-17_a_c0_sym_001,page048_M-17_a_c0,-8.482134,-0.91746837,1,5
page049_M-19_A_c0_sym_001,page049_M-19_A_c0,-1.0974295,-0.7166252,1,17
page049_M-19_A_c0_sym_002,page049_M-19_A_c0,-3.913314,-0.99906486,2,12
page049_M-20_A_c0_sym_001,page049_M-20_A_c0,-1.0974295,-0.7166252,1,17
page049_M-20_A_c0_sym_002,page049_M-20_A_c0,-3.913314,-0.99906486,2,12
page049_M-21_A_c0_sym_001,page049_M-21_A_c0,-0.48251975,-0.6151327,1,26
page050_M-23_A_c0_sym_001,page050_M-23_A_c0,1.0450742,-0.30819046,1,26
page050_M-23_A_c0_sym_002,page050_M-23_A_c0,1.6219565,-0.042420417,2,35
page050_M-23_A_c0_sym_003,page050_M-23_A_c0,-4.742654,-1.2754223,3,20
page050_M-24_A_c0_sym_001,page050_M-24_A_c0,1.0450742,-0.30819046,1,26
page050_M-24_A_c0_sym_002,page050_M-24_A_c0,1.6219565,-0.042420417,2,35
page050_M-24_A_c0_sym_003,page050_M-24_A_c0,-4.742654,-1.2754223,3,20
page054_M-34_a_bis_c1_sym_001,page054_M-34_a_bis_c1,2.9690065,0.39958167,1,23
page054_M-34_a_c1_sym_001,page054_M-34_a_c1,2.9690065,0.39958167,1,23
page055_M-36_A_c0_sym_001,page055_M-36_A_c0,0.26153246,-0.42195198,1,3
page055_M-36_A_c0_sym_002,page055_M-36_A_c0,2.419528,0.24644862,2,27
page055_M-36_A_c0_sym_003,page055_M-36_A_c0,3.6406186,0.8223366,3,28
page055_M-36_A_c0_sym_004,page055_M-36_A_c0,2.3452568,0.21610935,4,35
