seal_id,source_image,clean_image,image_size_orig_w,image_size_orig_h,image_size_clean_w,image_size_clean_h,symbol_id,symbol_index,bbox_clean_x1,bbox_clean_y1,bbox_clean_x2,bbox_clean_y2,bbox_orig_x1,bbox_orig_y1,bbox_orig_x2,bbox_orig_y2,symbol_path
page039_M-4_B_c0,data\cropped\page039_M-4_B_c0.png,data\clean\page039_M-4_B_c0_clean.png,583,566,568,566,page039_M-4_B_c0_sym_001,1,91,147,108,165,93,147,110,165,output\symbols\page039_M-4_B_c0_sym_001.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_001,1,11,366,126,758,14,478,162,991,output\symbols\page046_M-12_a_c1_sym_001.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_002,2,18,14,92,220,23,18,118,287,output\symbols\page046_M-12_a_c1_sym_002.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_003,3,25,386,65,466,32,505,83,609,output\symbols\page046_M-12_a_c1_sym_003.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_004,4,33,270,58,296,42,353,74,387,output\symbols\page046_M-12_a_c1_sym_004.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_005,5,41,336,70,358,52,439,90,468,output\symbols\page046_M-12_a_c1_sym_005.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_006,6,45,534,77,741,57,698,99,969,output\symbols\page046_M-12_a_c1_sym_006.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_007,7,56,195,157,319,72,255,202,417,output\symbols\page046_M-12_a_c1_sym_007.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_008,8,77,338,94,368,99,442,121,481,output\symbols\page046_M-12_a_c1_sym_008.png
page046_M-12_a_c1,data\cropped\page046_M-12_a_c1.png,data\clean\page046_M-12_a_c1_clean.png,946,1005,734,768,page046_M-12_a_c1_sym_009,9,83,145,92,205,106,189,118,268,output\symbols\page046_M-12_a_c1_sym_009.png
