page,line_id,caption_index,text_raw,text_norm,x,y,w,h,x_center,site,number,side,part,variant,normalized_code
7,31,0,| Mohenjo-daro  (M-1 to 620) o....cecssescsssssssesesseststssssesssssssssensneescscenseeee 1-156 & 364,| Mohenjo-daro (M-1 to 620) o....cecssescsssssssesesseststssssesssssssssensneescscenseeee 1-156 & 364,93,2872,2122,75,481,M,1,t,,,M-1 t
7,34,0,© Kalibangan (K-1 tO 122).....ccccscecececeeceeceecceceeeseeeeeceeseeeeceececereecererseeereees 298-326,© Kalibangan (K-1 tO 122).....ccccscecececeeceeceecceceeeseeeeeceeseeeeceececereecererseeereees 298-326,9,3084,2207,58,362,K,1,t,,,K-1 t
8,8,0,"Dholavira (= Kotadi, Kotda-Timba) (DIv-1 to 2) .o..ccccccccocccessseesescccssescecsseessecesseseeeseee 355","Dholavira (= Kotadi, Kotda-Timba) (DIv-1 to 2) .o..ccccccccocccessseesescccssescecsseessecesseseeeseee 355",148,921,2030,61,904,V,1,t,,,V-1 t
8,10,0,"Khirsara (= Khera-Shara, Netra) (Krs-1 to 2) .....cc.ccsccssssosscsscacecsescereceeserssscescseseceeeeee 357","Khirsara (= Khera-Shara, Netra) (Krs-1 to 2) .....cc.ccsccssssosscsscacecsescereceeserssscescseseceeeeee 357",146,1119,2034,64,852,S,1,t,,,S-1 t
8,11,0,Prabhas Patan (= Somnath) (Pbs-1) ooo Dison et beinehaaseuancncaswasesatabsaskeodunmasacasaseuusiiacCcsas Lae,Prabhas Patan (= Somnath) (Pbs-1) ooo Dison et beinehaaseuancncaswasesatabsaskeodunmasacasaseuusiiacCcsas Lae,144,1455,2032,62,712,S,1,,,,S-1
8,12,0,Rakhigarhi (Rgr-1 10 3) ersecesceeeeseseeserseeseeeeesseeeceeceeereesssesseeeserereeceseeeee 359-360,Rakhigarhi (Rgr-1 10 3) ersecesceeeeseseeserseeseeeeesseeeceeceeereesssesseeeserereeceseeeee 359-360,140,1516,2037,69,465,R,1,,,,R-1
8,15,0,Rojdi (Rjd-1) avSesnvineneescsosarsou sn vabuseccsasdsnedsansucslccvechesueseebedcccceeoeceosectlel,Rojdi (Rjd-1) avSesnvineneescsosarsou sn vabuseccsasdsnedsansucslccvechesueseebedcccceeoeceosectlel,144,1716,2026,72,358,D,1,,,,D-1
8,17,0,Surkotada (Sktd-1 00 6) cecssscseesssssscccsscsonccssscencentenseccscsacesencesensensessesee 362-363,Surkotada (Sktd-1 00 6) cecssscseesssssscccsscsonccssscencentenseccscsacesencesensensessesee 362-363,146,1916,2028,74,470,D,1,,,,D-1
8,18,0,Tarkhanewala-dera (Tkwd-1 to 3) soeeeeesesaeeeeeseseeesnnseesseecsesseteneesstrecesesccecessracersreceeees OD,Tarkhanewala-dera (Tkwd-1 to 3) soeeeeesesaeeeeeseseeesnnseesseecsesseteneesstrecesesccecessracersreceeees OD,144,1987,2031,67,600,D,1,t,,,D-1 t
8,19,0,"Addenda (M-435, M-540, H-76 A, H-382, B-26 a) S6dnsaracisnnasscsccetessilvadstecconse0se SOM","Addenda (M-435, M-540, H-76 A, H-382, B-26 a) S6dnsaracisnnasscsccetessilvadstecconse0se SOM",146,2116,2029,81,399,M,435,,,,M-435
8,19,1,"Addenda (M-435, M-540, H-76 A, H-382, B-26 a) S6dnsaracisnnasscsccetessilvadstecconse0se SOM","Addenda (M-435, M-540, H-76 A, H-382, B-26 a) S6dnsaracisnnasscsccetessilvadstecconse0se SOM",146,2116,2029,81,554,M,540,,,,M-540
8,19,2,"Addenda (M-435, M-540, H-76 A, H-382, B-26 a) S6dnsaracisnnasscsccetessilvadstecconse0se SOM","Addenda (M-435, M-540, H-76 A, H-382, B-26 a) S6dnsaracisnnasscsccetessilvadstecconse0se SOM",146,2116,2029,81,719,H,76,A,,,H-76 A
8,19,3,"Addenda (M-435, M-540, H-76 A, H-382, B-26 a) S6dnsaracisnnasscsccetessilvadstecconse0se SOM","Addenda (M-435, M-540, H-76 A, H-382, B-26 a) S6dnsaracisnnasscsccetessilvadstecconse0se SOM",146,2116,2029,81,884,H,382,,,,H-382
8,19,4,"Addenda (M-435, M-540, H-76 A, H-382, B-26 a) S6dnsaracisnnasscsccetessilvadstecconse0se SOM","Addenda (M-435, M-540, H-76 A, H-382, B-26 a) S6dnsaracisnnasscsccetessilvadstecconse0se SOM",146,2116,2029,81,1050,B,26,a,,,B-26 a
17,8,0,"Furthermore when one purely ""Dilmun-type” seal (L-123) was found at Lothal,!3 much attention","Furthermore when one purely ""Dilmun-type” seal (L-123) was found at Lothal,!3 much attention",155,760,2031,58,1269,L,123,,,,L-123
18,14,0,This immigration is reflected in the seals of the Jhukar period at Chanhujo-daro in Sind (C-41,This immigration is reflected in the seals of the Jhukar period at Chanhujo-daro in Sind (C-41,256,1253,1896,53,2111,C,41,,,,C-41
18,15,0,"to 50, especially C-49 and C-50) and at Shahi-Tump (Sht-1) and Mehi (Mehi-1) in Baluchistan.","to 50, especially C-49 and C-50) and at Shahi-Tump (Sht-1) and Mehi (Mehi-1) in Baluchistan.",129,1319,2026,51,591,C,49,a,,,C-49 a
18,15,1,"to 50, especially C-49 and C-50) and at Shahi-Tump (Sht-1) and Mehi (Mehi-1) in Baluchistan.","to 50, especially C-49 and C-50) and at Shahi-Tump (Sht-1) and Mehi (Mehi-1) in Baluchistan.",129,1319,2026,51,767,C,50,,,,C-50
18,15,2,"to 50, especially C-49 and C-50) and at Shahi-Tump (Sht-1) and Mehi (Mehi-1) in Baluchistan.","to 50, especially C-49 and C-50) and at Shahi-Tump (Sht-1) and Mehi (Mehi-1) in Baluchistan.",129,1319,2026,51,1351,T,1,,,,T-1
18,15,3,"to 50, especially C-49 and C-50) and at Shahi-Tump (Sht-1) and Mehi (Mehi-1) in Baluchistan.","to 50, especially C-49 and C-50) and at Shahi-Tump (Sht-1) and Mehi (Mehi-1) in Baluchistan.",129,1319,2026,51,1747,I,1,,,,I-1
18,18,0,"Turkmenia,23 one clearly NE Iranian type stepped seal comes from Harappa (see H-166).24 The","Turkmenia,23 one clearly NE Iranian type stepped seal comes from Harappa (see H-166).24 The",128,1516,2030,63,1923,H,166,,,,H-166
19,5,0,"Mesopotamian inspiration);25 indeed, one cylinder seal from Mohenjo-daro (M-419) resembles more","Mesopotamian inspiration);25 indeed, one cylinder seal from Mohenjo-daro (M-419) resembles more",138,619,2031,57,1773,M,419,,,,M-419
19,7,0,"the cylinder seals of Daimabad (Dmd-4) and Maski (Msk-1) continue the NE Iranian tradition,","the cylinder seals of Daimabad (Dmd-4) and Maski (Msk-1) continue the NE Iranian tradition,",137,755,1870,59,866,D,4,,,,D-4
19,7,1,"the cylinder seals of Daimabad (Dmd-4) and Maski (Msk-1) continue the NE Iranian tradition,","the cylinder seals of Daimabad (Dmd-4) and Maski (Msk-1) continue the NE Iranian tradition,",137,755,1870,59,1236,K,1,,,,K-1
